Final exam (FE) Q1 (max mark 24) - Financial accounting,Final exam (FE) Q2 (max mark 13) - Activity based costing,Final exam (FE) Q3 (max mark 9) - Cost volume profit analysis ,Final exam (FE) Q4 (max mark 10) - Decision making,Final exam (FE) Q5 (max mark 22) - Earnings management,Total Facebook time (minutes),Communications with friends and family*FB time,Enjoyment and entertainment*FB time,Filling in 'dead' or vacant time*FB time,Keeping informed about events and news*FB time,Education and study*FB time,Work related reasons*FB time,Arrange a meeting for a group project*FB time,Contact another student with a question related to class or university work*FB time,Discuss university work*FB time,Ask a classmate for help in the class*FB time,Help manage a group project*FB time,Collaborate on an assignment in a way my instructor would like*FB time,Arrange a face–to–face study group*FB time,Accounting major dummy 1=Yes; 0=No,Age when studying 22107,Gender Dummy 1=Male. 0=Female,WAM,Year of Study,Linkedin total time (minutes),Snapchat total time (minutes),Twitter total time (minutes),Final exam (FE) total (max mark 100)
17,2,6,6,18,360,1800,1440,1440,1440,1440,1440,1440,1440,1440,1800,1440,1800,1440,0,17.43,0,78,0,0,420,0,67
16,13,9,6,19,360,1800,1800,1800,1800,1440,1080,1440,1440,1800,1800,1440,1080,1440,0,17.64,1,79.67,0,0,420,180,83
13,11,7,3,20,360,1800,1800,1800,1800,1440,1440,1800,1800,1800,1800,1800,1080,1800,0,17.41,0,74.67,0,120,120,300,54
14.5,0,4,4,10.5,480,1920,1920,2400,960,1440,1440,1920,1920,2400,1920,1920,1440,2400,0,18.36,0,72.95,0.5,0,120,0,47
12,0,0,0,13.5,390,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1560,1950,1950,0,18.39,0,73.67,0,0,60,120,40.5
18,11,8,10,18,510,2040,1530,2040,2040,1530,1530,2550,2550,2550,2550,2550,2040,2550,0,19.11,0,70.81,1,0,0,301,65
10.5,1,1,2,9,420,2100,2100,2100,2100,1680,1260,2100,2100,2100,2100,1680,1680,2100,0,19.46,1,70.33,0,0,120,0,37.5
1.5,6,2,2,9,421,2105,1684,1684,1684,1684,1263,1684,2105,2105,2105,2105,2105,2105,0,17.83,0,79.33,0,0,1200,0,20.5
13,1,7,3,15,430,2150,2150,2150,2150,2150,1290,2150,2150,2150,2150,1720,2150,2150,0,18.40,0,77,0,0,900,60,56
13.5,9,6,10,15,,,,,,,,,,,,,,,0,18.06,1,72.71,0.5,0,191,0,68.5
10.5,0,0,0,9,,,,,,,,,,,,,,,0,20.39,1,61.98,0,0,610,0,19.5
16,6,9,6,10.5,,,,,,,,,,,,,,,0,21.34,0,58.58,3,1440,720,0,56.5
7.5,4,0,1,5,,,,,,,,,,,,,,,0,21.41,1,54.78,1,60,601,5,17.5
23,9,8,9,20,,,,,,,,,,,,,,,0,17.72,0,76.2,0,0,600,30,85
12,6,0,1,17,,,,,,,,,,,,,,,0,17.49,0,69.33,0,0,600,240,36
16.5,10,0,6,12,,,,,,,,,,,,,,,1,18.55,0,80.14,0.5,972,911,545,44.5
9,0,0,3,7,15,,,,,,,,,,,,,,0,19.37,1,50.67,0,,,,28
8,3,9,2,5,30,,,,,,,,,,,,,,0,21.99,1,60,0,,,,42
19.5,8,3,5,10,60,,,,,,,,,,,,,,0,19.51,1,61,0,,,,57.5
14.5,0,8,6,16,0,,,,,,,,,,,,,,0,19.80,1,68.95,0,,,,63.5
16.5,1,3,5,15.5,30,,,,,,,,,,,,,,0,18.02,1,69,0,,,,54
16,0,2,8,9,60,,,,,,,,,,,,,,0,18.49,1,69,0,,,,50
20,11,9,4,18,67,,,,,,,,,,,,,,0,18.10,1,69.33,0,,,,79
17,11,9,9,21,60,,,,,,,,,,,,,,0,17.77,1,71.33,0,,,,67
6,1,0,0,8,210,,,,,,,,,,,,,,0,18.21,0,71.67,0,,,,27
10.5,3,2,8,3,0,,,,,,,,,,,,,,0,19.93,0,73.33,0,,,,40.5
20.5,10,8,5,17,180,,,,,,,,,,,,,,1,18.14,1,74,0,,,,75.5
5.5,0.5,2,0,0,120,,,,,,,,,,,,,,0,18.91,1,74,0,,,,20
15,1,7,6,9.5,120,,,,,,,,,,,,,,0,18.05,1,76.33,0,,,,52.5
18,6,6,2,12.5,60,,,,,,,,,,,,,,0,17.57,0,77.67,0,,,,61.5
17,0,9,8,9,121,,,,,,,,,,,,,,0,18.39,0,78,0,,,,58
20,8,5,6,15,60,,,,,,,,,,,,,,0,18.63,0,78,0,,,,70
12.5,0,7,0,8,120,,,,,,,,,,,,,,0,18.70,1,78.67,0,,,,42.5
11,8,2,4,14,150,,,,,,,,,,,,,,0,17.87,0,82,0,,,,39
18.5,0.5,8,2,11,30,,,,,,,,,,,,,,0,17.73,0,85,0,,,,54
12.5,0,0,6,11,60,,,,,,,,,,,,,,0,26.64,0,85,0,,,,45.5
23,7,9,6,21,330,,,,,,,,,,,,,,0,17.93,0,85.69,0,,,,87
4.5,1,2,1,7.5,60,,,,,,,,,,,,,,0,18.68,1,63.36,1,,,,30
14,11,6,7,19,120,,,,,,,,,,,,,,0,19.14,0,72.62,1,,,,72
